"Date","Close","% Change","% Change vs Average","Volume"
"2016-07-31T21:00:00.000Z","2,170.95","-0.12","-0.95","75,610,310,000"
"2016-08-31T21:00:00.000Z","2,168.27","-0.12","-0.96","77,023,620,000"
"2016-09-30T21:00:00.000Z","2,126.15","-1.94","-2.77","72,915,530,000"
"2016-10-31T22:00:00.000Z","2,198.81","3.42","2.59","88,445,380,000"
"2016-11-30T22:00:00.000Z","2,238.83","1.82","0.99","75,344,550,000"
"2016-12-31T22:00:00.000Z","2,278.87","1.79","0.96","70,576,420,000"
"2017-01-31T22:00:00.000Z","2,363.64","3.72","2.89","69,260,940,000"
"2017-02-28T22:00:00.000Z","2,362.72","-0.04","-0.87","81,664,010,000"
"2017-03-31T21:00:00.000Z","2,384.20","0.91","0.08","65,369,860,000"
"2017-04-30T21:00:00.000Z","2,411.80","1.16","0.33","79,719,460,000"
"2017-05-31T21:00:00.000Z","2,423.41","0.48","-0.35","81,078,810,000"
"2017-06-30T21:00:00.000Z","2,470.30","1.93","1.10","63,348,090,000"
"2017-07-31T21:00:00.000Z","2,471.65","0.05","-0.78","70,784,900,000"
"2017-08-31T21:00:00.000Z","2,519.36","1.93","1.10","66,624,120,000"
"2017-09-30T21:00:00.000Z","2,575.26","2.22","1.39","71,088,550,000"
"2017-10-31T22:00:00.000Z","2,647.58","2.81","1.98","73,416,960,000"
"2017-11-30T22:00:00.000Z","2,673.61","0.98","0.15","65,531,700,000"
"2017-12-31T22:00:00.000Z","2,823.81","5.62","4.79","77,318,690,000"
"2018-01-31T22:00:00.000Z","2,713.83","-3.89","-4.73","79,933,970,000"
"2018-02-28T22:00:00.000Z","2,640.87","-2.69","-3.52","76,803,890,000"
